Solvent,Solute,logK,deltaG_solv
CCCCOP(=O)(OCCCC)OCCCC,CC(C)O,3.47,-0.20528
C/N=C/O,CC(=C)C=C,1.79,-0.1059
CC(=O)C,CCI,2.92,-0.17275
CCOCCO,COC=O,2.256,-0.13346
CCO,CC#N,2.9,-0.17156
CCCCCCCCO,C(=S)=S,2.28,-0.13488
CCCCCCCCCC,[HH],-1.091,0.06454
C/N=C/O,CC(C)CCC(C)C,2.17,-0.12838
CCCOCCC,CCCCO,3.623,-0.21433
CN1CCCC1=O,CC(C)(C)Cl,2.18,-0.12897
CCCCCCCCCCC,O=O,-0.58,0.03431
CCCCCCC,CCI,2.7,-0.15973
CC(=O)OC,CCC1CO1,3.04,-0.17984
CCCOCCO,Cc1ccccc1C,3.98857382878,-0.23596
CCOc1ccccc1,C1COCCO1,3.555,-0.21031
CC(=O)N(C)C,C(=C(Cl)Cl)Cl,3.52,-0.20824
CCCCCCCCC,CCC,1.255,-0.07424
CC(C)CC(C)(C)C,[He],-1.343,0.07945
CCCCCCC,C(Cl)Cl,2.13,-0.12601
CN(C)C=O,CCl,1.74,-0.10294
CN(C)C=O,C1CCCCC1,2.31,-0.13666
CN(C)C=O,CCC(C)O,4.16,-0.2461
C(Cl)(Cl)(Cl)Cl,CCCCOCCCC,4.6,-0.27213
CC(=O)OC,C1CCCCC1,2.642,-0.1563
CCCCCCC,CCCc1ccccc1,4.34,-0.25675
Cc1cccc(c1)C,[Ne],-1.485,0.08785
C(=O)N,CC(=C)CC(C)(C)C,0.95,-0.0562
Cc1ccccc1C,C(Cl)Cl,2.627,-0.15541
CCCCCCCC,Cc1ccccc1N,4.65,-0.27509
CC(=O)C,CC#C,1.82,-0.10767
CC(C)OC(C)C,C1COCCO1,3.214,-0.19014
CC(=O)OC,C(=C/Cl)\Cl,2.915,-0.17245
CCC#N,CCC1CCCCC1,3.165,-0.18724
C(Cl)(Cl)(Cl)Cl,Cc1ccc(cc1)C,4.2,-0.24847
c1ccc(cc1)Cl,CCOCC,2.96,-0.17511
c1ccc(cc1)Cl,C[N+](=O)[O-],3.06,-0.18103
CCOCC,c1(c(c(c(c(c1F)F)F)F)F)F,3.13,-0.18517
CCOCCO,CCCO,3.91,-0.23131
CCCCCCCCCCC,C,-0.2,0.01183
CN1CCCC1=O,C1CCCC=CCC1,3.6,-0.21297
Cc1ccc(cc1)C,c1ccccc1,3.2,-0.18931
CCOC(=O)C,CCC(=O)C,3.26,-0.19286
CN(C)C=O,C1CCCC1,2.0,-0.11832
C(Cl)(Cl)Cl,c1ccc2c(c1)cccn2,6.98,-0.41293
CCCCCCCCCCCCCCCC,CCCCCCCC=O,4.38,-0.25912
CCCCCCCCO,CCCCCCCCCCCCCCCCCCCCO,12.06,-0.71346
CCCCCCCC,O,0.5,-0.02958
CCCCOCCO,C=CCCCCC=C,3.44,-0.20351
Cc1ccc(cc1)C,C(=O)=O,0.332,-0.01964
CCCCOC,C1CCCCC1,3.08,-0.18221
c1ccc(cc1)Cl,c1ccccc1,3.24,-0.19168
CCCCO,CCc1ccccc1,3.648,-0.21581
Cc1ccc(cc1)C,COC,1.488,-0.08803
c1ccc(cc1)Cl,CO,1.78,-0.1053
C(Cl)(Cl)(Cl)Cl,CCCCOC(=O)C,4.17,-0.24669
c1ccc(cc1)Br,[He],-1.91,0.11299
CCOC(=O)C,C(C(F)(Cl)Cl)(F)(F)Cl,2.49,-0.14731
CCOCC,C(Cl)(Cl)(Cl)Cl,3.22,-0.19049
CCCCO,c1ccc(cc1)CBr,4.67,-0.27627
CO,CCC=O,2.79,-0.16505
C1CCOC1,CCCC=O,3.24,-0.19168
CC(CO)O,CCc1ccccc1,2.948,-0.1744
CCCO,CCI,2.56,-0.15145
CO,CC(C)OC(C)C,2.8,-0.16565
C(CCl)Cl,C(=O)O,3.23,-0.19108
CN1CCCC1=O,C1COCCO1,3.66,-0.21652
CCCCCCCCCCCC,CCCCO,2.59,-0.15322
C1COCCN1C=O,c1ccsc1,3.22,-0.19049
C(CCl)Cl,CCCC(=O)O,4.47,-0.26444
CC(=O)N(C)C,CCCC=C,1.72,-0.10175
C(I)I,CCC(=O)C,2.81,-0.16624
Cc1ccccc1,CCNCC,2.749,-0.16263
CCCCCCCO,CC(C)C,1.22,-0.07217
C1CCOCC1,C/C=C\C,1.98,-0.11714
CC(=O)C,CC1CCCCC1,2.88,-0.17038
CCCCCC,[N-]=[N+]=O,0.54,-0.03195
C(Cl)(Cl)(Cl)Cl,CCC(C)(C)O,3.204,-0.18955
CC1COC(=O)O1,CC=C,0.72,-0.04259
C1CCC(=O)CC1,CC(C)CC(C)C,2.596,-0.15358
c1ccc(cc1)Cl,[Rn],1.1,-0.06508
CCCO,CN(C)C,2.56,-0.15145
Cc1ccccc1,CC(F)F,1.282,-0.07584
c1ccncc1,CCC1CCCCC1,3.474,-0.20552
CC(=O)C,CCC#C,2.19,-0.12956
CCCCCCC,c1ccc(cc1)C#N,3.907,-0.23114
CCC#N,CCCCC,1.82,-0.10767
c1ccc(cc1)F,CCO,2.38,-0.1408
C(=O)N,CCCCOC(=O)C,2.98,-0.17629
c1ccc(cc1)Cl,CCCC,1.7,-0.10057
C1COCCO1,C1CCC(C1)O,4.64,-0.2745
C(Cl)(Cl)(Cl)Cl,CCCCC(=O)O,4.1,-0.24255
CCCCCCCCCCCCCCCC,C(=C(Cl)Cl)(Cl)Cl,3.584,-0.21203
C(CCl)Cl,CCCC=C,2.1,-0.12423
CCCCCCCC,CC(C)OC(C)C,2.812,-0.16636
CCCCCCC,CCNCC,2.52,-0.14908
CC(C)CO,CCCCCCC,2.87,-0.16979
C(Cl)(Cl)(Cl)Cl,[Ar],-0.47,0.0278
CCCCCCCCCCC,C(=C/Cl)\Cl,2.52,-0.14908
CCCCCO,CCC(=O)C,2.85,-0.1686
CC(=O)C,C[Sn](C)(C)C,2.55,-0.15086
CN(C)C=O,CC(C)(C)Cl,2.31,-0.13666
Cc1ccccc1,CCCCCOC(=O)C,4.698,-0.27793
CCCCCCCCCCCCCCCC,CCCC=C,2.013,-0.11909
CN1CCCC1=O,CC(C)O,3.73,-0.22066
C(Cl)(Cl)Cl,c1cc(ccc1C#N)C#N,8.3,-0.49102
CCCCC,[Kr],0.22,-0.01302
C1CCC(=O)CC1,CC(C)C=C,1.912,-0.11311
CCCCCCCCC,C(F)(F)(F)F,-0.589,0.03484
c1ccc(cc1)Br,CC,0.45,-0.02662
C/N=C/O,CCC(C)C,1.15,-0.06803
C1COCCN1C=O,CC(C)CC(=O)C,3.38,-0.19996
C/C(=N/C)/O,CCCCO,4.47,-0.26444
C1CCOCC1,CCC=C,1.83,-0.10826
C1COCCO1,c1ccc(cc1)C(=O)O,7.19,-0.42536
CCCO,CCCC(C)C,2.15,-0.12719
CC(C)(C)OC,CCCC(C)C,2.76,-0.16328
CCCCCO,CCCCC=C,2.42,-0.14317
CCCCCC,CNC,1.821,-0.10773
CCOC(=O)C,CC(C)(C)Cl,2.61,-0.15441
CCOc1ccccc1,C[N+](=O)[O-],3.176,-0.18789
CC(C)(C)O,c1ccccc1,2.72,-0.16091
CCCCC(=O)C,O=O,-0.633,0.03745
CCCCO,CC(C)C,1.4,-0.08282
CCCCCCCCCCCCCCCC,CCCC,1.615,-0.09554
C(CCl)Cl,C(C(F)(Cl)Cl)(F)(F)Cl,2.05,-0.12128
C/N=C/O,C1CCC=CC1,2.39,-0.14139
c1ccc(cc1)[N+](=O)[O-],CCCCCCC,2.621,-0.15506
C1CCCCCCC1,[Ne],-1.604,0.09489
CO,[HH],-1.02,0.06034
CCCCCCCCO,COc1ccccc1,4.01,-0.23723
CCCCCCC,[N-]=[N+]=O,0.48,-0.0284
CCCCCCC,CCO,1.64,-0.09702
CO,CCCC(C)C,1.955,-0.11566
CCC(=O)C,N,1.42,-0.08401
CCOC(=O)C,CC(=O)C,2.86,-0.1692
C1COCCN1C=O,CCCCCC=C,2.12,-0.12542
CC(C)CC(C)(C)C,CCCCCCCC,3.857,-0.22818
CCCCCCCCCCC,[Ne],-1.39,0.08223
CCCC(C)O,CO,3.17,-0.18754
CCCCCCCCCCCCCCCC,Cc1cccc(c1)[N+](=O)[O-],4.97,-0.29402
CCCCCCC,CCC(C)N,2.447,-0.14476
CCCO,CCCCCl,2.63,-0.15559
C(Cl)(Cl)(Cl)Cl,ClCl,1.39,-0.08223
CCCCOP(=O)(OCCCC)OCCCC,CC#N,2.92,-0.17275
C(Cl)(Cl)(Cl)Cl,CCC(C)O,2.853,-0.16878
CCCCCCCCO,C(Cl)(Cl)Cl,2.8,-0.16565
CCCCCCCCCCO,C1CCCCC1,2.504,-0.14814
CC(C)CO,CC(C)(C)O,3.77,-0.22303
CCCCO,CN,2.12,-0.12542
C(=O)N,CCOCC,1.49,-0.08815
CC(C)(C)O,CC=C(C)C,2.36,-0.13962
CCO,C1CCOC1,3.038,-0.17973
Cc1ccccc1,CCC(C)O,3.077,-0.18203
CC(C)O,c1ccc(cc1)Cl,3.61,-0.21357
C1CCOC1,FS(F)(F)(F)(F)F,-0.04,0.00237
CCCCCCCCCCCCCCCC,Cc1ccccc1Cl,4.16,-0.2461
CCCCCC,CCCCCCC,3.5,-0.20706
c1ccc(cc1)CO,CCO,3.467,-0.20511
CC(=O)N(C)C,C1CCOC1,2.9,-0.17156
CC(=O)OC,CCl,1.808,-0.10696
C(CCl)Cl,CC(C)CC(C)C,2.63,-0.15559
CCCCOP(=O)(OCCCC)OCCCC,CCC#N,3.22,-0.19049
CCCCCCCC,CCCCC(=O)C,3.372,-0.19949
c1ccc(cc1)Cl,CCBr,2.57,-0.15204
C(Cl)(Cl)Cl,c1ccc(c(c1)O)Br,5.37,-0.31769
C(Cl)(Cl)Cl,CCCCCCCC,3.9,-0.23072
CCCCCCCCCCCCCCCC,CCCCCCCCC(=O)C,5.26,-0.31118
C1CCOCC1,C=CC=C,1.97,-0.11654
CCCCO,CCCCCO,4.96,-0.29343
C1CCOC1,N#N,-0.83,0.0491
CCCCCC,c1ccccc1,2.94,-0.17393
CO,O=S=O,2.08,-0.12305
CC(C)O,CC(C)(C)Br,2.37,-0.14021
CCCCCl,CCCCC,2.356,-0.13938
CCCO,COC,1.54,-0.09111
CCCCCCC,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,7.508,-0.44417
CC(=O)O,CCCCCC,1.957,-0.11577
C(CCl)Cl,CS(=O)C,6.28,-0.37152
CCCO,CCCCCCCC,3.17,-0.18754
c1ccc(cc1)C#N,CC(C)(C)Br,2.671,-0.15801
CCCCCCCCCCO,[He],-1.748,0.10341
CCOCC,C[N+](=O)[O-],3.09,-0.1828
C(Cl)(Cl)Cl,CCCCCC(=O)O,5.58,-0.33011
c1ccc(cc1)F,[Xe],0.53,-0.03135
c1ccc(cc1)N,C(Cl)(Cl)(Cl)Cl,2.581,-0.15269
C[N+](=O)[O-],C1CCCCC1,1.984,-0.11737
Cc1ccccc1,[Ne],-1.492,0.08827
CCOCCO,CCc1ccccc1,3.801,-0.22486
CCC(=O)C,CC(C)(C)O,3.45,-0.2041
C[N+](=O)[O-],CCCCCC,1.656,-0.09797
CCCCCCCCCCO,CCCCCO,4.681,-0.27692
CCCCOCCCC,CCCCC,2.33,-0.13784
COCCO,c1ccc(cc1)F,3.233,-0.19126
CC(C)OCCO,CCCCCCCCC,3.61821861448,-0.21405
CCCCOP(=O)(OCCCC)OCCCC,CCO,3.35,-0.19818
CCCCCCCC,CC(C)CC(C)O,3.391,-0.20061
CCCCCCCCCC,Cc1ccc(o1)C=O,3.875,-0.22924
Cc1ccc(cc1)C,CCCO,2.736,-0.16186
CC(C)CC(C)(C)C,CCCC=C,2.248,-0.13299
CCO,CCC(=O)OC,3.04,-0.17984
CC(=O)O,CCF,1.03,-0.06093
C(=O)N,Cc1ccc(cc1)C,2.4,-0.14198
CCCCCCCC,CC(=O)OC,2.111,-0.12489
C/C(=N/C)/O,CC(=O)OC,2.65,-0.15677
CCCCCCC,C(C(F)(Cl)Cl)(F)(Cl)Cl,2.92,-0.17275
CCOCC,CC,0.85,-0.05029
CCc1ccccc1,C1COCCO1,3.452,-0.20422
CC(=O)c1ccccc1,CCCCCCCC,3.122,-0.1847
CC(=O)OC,CCCC=C,2.108,-0.12471
CO,CC,0.38,-0.02248
C1CCOC1,[He],-1.63,0.09643
CCCCOP(=O)(OCCCC)OCCCC,CCCCCCC=C,3.29,-0.19463
CCCCCCCCO,O=O,-0.76,0.04496
CCCOCCC,C1CCCCC1,3.021,-0.17872
c1ccc(cc1)N,C1CCC=CC1,2.56,-0.15145
c1ccc(cc1)CO,C1CCCCC1,2.362,-0.13973
CC1COC(=O)O1,C=C,0.18,-0.01065
CCOC(=O)C,CC(=C)C,1.87,-0.11063
CCOCC,C(Cl)Cl,2.84,-0.16801
CC1COC(=O)O1,CC(C)CC(C)C,1.62,-0.09584
CN(C)C=O,[Ar],-0.86,0.05088
Cc1ccccc1C,[Ar],-0.66,0.03905
CC(C)OC(C)C,CC(C)(C)Cl,2.598,-0.1537
c1ccc(cc1)N,CC=C,0.789,-0.04668
CCCCCCC,CCBr,2.23,-0.13193
CCCCCCCCCCCCCCCC,CCCCCCCBr,4.6,-0.27213
CN1CCCC1=O,CCCCC1CCCCC1,3.73,-0.22066
Cc1ccccc1,CC(C)CCO,3.667,-0.21694
Cc1ccccc1C,C=CC=C,1.805,-0.10678
CCBr,Cc1ccccc1,3.909,-0.23125
C(=O)N,CCC(=O)C,2.9,-0.17156
CN1CCCC1=O,CCCCC,1.59,-0.09406
C(Cl)(Cl)Cl,CC(C)CCCO,4.84,-0.28633
CCc1ccccc1,CC(C)CCO,3.58,-0.21179
Cc1ccccc1,CCCC=C,2.277,-0.13471
C(CCl)Cl,C1CCCCC1,2.79,-0.16505
C1CCC(=O)CC1,CCC1CCCCC1,3.548,-0.2099
CCCO,CF,-0.02,0.00118
CCCCOCCO,CCCCCCCCCC,4.1,-0.24255
CCCCCCCCCCCCCCCC,CCCCCCOC(=O)C,4.27,-0.25261
CC(C)(C)O,CC(C)C,1.36,-0.08046
CC1COC(=O)O1,C[Sn](C)(C)C,1.66,-0.0982
C(Cl)(Cl)(Cl)Cl,CCl,1.61,-0.09525
CCCCCCCCCCCCCCCC,C=CCCl,2.109,-0.12477
CCC(C)CO,CCC=C,1.45,-0.08578
CCCCCCCCCCCCCCCC,C(C(F)(Cl)Cl)(F)(F)Cl,2.123,-0.1256
CCCCCCC,CCCCCOC(=O)C,4.02,-0.23782
c1ccc(cc1)Cl,CCOC(=O)C,3.28,-0.19404
CCCCCCC,CCCC(=O)C,2.983,-0.17647
C/N=C/O,CCCC=C,1.45,-0.08578
CC(C)CC(C)(C)C,Cc1ccc(cc1)N,4.61,-0.27272
CCCCCCCCCCCCCCCC,CCCCC(=O)C,3.262,-0.19298
CCCCCCCCCCCCCCCC,CC(C)OC(=O)C,2.633,-0.15577
Cc1ccccc1,CCCCN,3.247,-0.19209
CC(=O)O,C1CC1,1.227,-0.07259
CCO,CCCCCCCCC,3.52,-0.20824
C/N=C/O,CCOC(C)(C)C,2.35,-0.13902
C1COCCO1,CC(C)CC(=O)C,3.9,-0.23072
c1ccc(cc1)Cl,[Kr],-0.18,0.01065
C/N=C/O,C=C,0.15,-0.00887
CC(C)CC(C)(C)C,CC(C)C=C,2.107,-0.12465
Cc1ccccc1C,CC(=C)C,1.692,-0.1001
CN(C)C=O,CCC,0.68,-0.04023
CC1CCCCC1,C,-0.12,0.0071
CCCCCCCCCCCCCCCC,CCC=O,1.85,-0.10944
CCCO,CC(C)CC(C)C,2.43,-0.14376
CCCCCC,CC(C)C(C)C(C)C,3.68,-0.21771
CCCCCCC,CCCC#N,2.699,-0.15967
CCCCCCCCCCCCCCCC,Cc1ccc(cc1)Br,4.54,-0.26858
CCOCCO,C=CC1CCC=CC1,3.431,-0.20298
CC1CCCCC1,C(=O)=O,0.25,-0.01479
C(Cl)(Cl)Cl,CCc1ccccn1,5.44,-0.32183
CCOCC,CC(Cl)(Cl)Cl,3.03,-0.17925
C=CCO,CCC=C,1.38,-0.08164
CN(C)C=O,C1CCC=CCC1,3.1,-0.18339
C(Cl)Cl,CCCC(C)C,2.589,-0.15316
CCCCCCC,N,0.93,-0.05502
C(Cl)(Cl)(Cl)Cl,C#C,0.476,-0.02816
CCCCCCC,c1ccc(cc1)[N+](=O)[O-],4.5,-0.26622
CCOCC,CC(C)(C)Cl,2.48,-0.14672
Cc1ccc(cc1)C,CC(C)(C)Cl,2.626,-0.15535
CCCCCCO,CCCC#N,3.169,-0.18748
CCCCCCCO,N#N,-0.981,0.05804
CO,CCCC(=O)C,3.58,-0.21179
c1ccc(cc1)Cl,C1COCCO1,3.72,-0.22007
C/N=C/O,c1ccccc1,2.81,-0.16624
CCO,Cc1ccccc1,3.28,-0.19404
C(Cl)(Cl)(Cl)Cl,CCCCCCCC,4.05,-0.2396
C1COCCO1,CCC(=O)C,3.28,-0.19404
c1ccncc1,CO,3.383,-0.20014
CC(C)(C)O,CC(F)F,1.04,-0.06153
CCCCCCC,CCC#N,2.1,-0.12423
CCCCCCCCCCCCCCCC,CC(Cl)(Cl)Cl,2.69,-0.15914
CCCCCCCCCCCC,COc1ccccc1,3.86,-0.22836
C(Cl)(Cl)(Cl)Cl,CCCOC(=O)c1ccccc1O,6.57,-0.38868
CCCCCCCC,CCCC(C)C(C)O,3.891,-0.23019
CCC(=O)C,CCCCCCO,5.1,-0.30171
CCCOCCO,c1ccc(cc1)F,3.17341226937,-0.18774
CCCCCCCCCC,CC(C)C,1.637,-0.09684
CCCCOCCO,CCCCCC,2.33,-0.13784
c1ccc(cc1)Cl,Cc1ccccc1,3.82,-0.22599
c1ccc(cc1)C#N,CCCCCCCC,3.19388747823,-0.18895
C1CCOC1,[2H][2H],-1.08,0.06389
CC(C)(C)OC,CCCCO,3.9,-0.23072
CCCOCCO,c1ccccc1,3.02389357546,-0.17889
Cc1cccc(c1)C,C(F)(F)(F)F,-0.827,0.04892
CCCCOCCCC,CCCCN,2.68,-0.15855
CO,CCCCCO,4.93,-0.29166
CCCCCCCC,CCCCO,2.65,-0.15677
CCCCCCC,C=CC=C,1.96,-0.11595
CC(C)CO,c1ccncc1,4.16,-0.2461
C1CCOC1,C1COCCO1,3.74,-0.22126
CCCO,CC[Pb](CC)(CC)CC,4.69,-0.27746
CCCCCCCCCO,CCCC#N,2.987,-0.17671
CCCCCCCC,CC(C)CO,2.442,-0.14447
CCCCC,O=O,-0.36,0.0213
CN(C)C=O,C1CCOC1,2.93,-0.17334
c1ccc(cc1)I,Cc1cccc(c1)O,5.0,-0.2958
C1COCCN1C=O,C1CCCCC1,1.98,-0.11714
CCCCCCCCCCC,C(=C(Cl)Cl)Cl,2.74,-0.1621
C(Cl)(Cl)(Cl)Cl,CCCCO,3.17,-0.18754
CCOC(=O)C,C=CCCCC=C,3.37,-0.19937
Cc1ccccc1,CCCC,1.744,-0.10317
Cc1ccccc1,C[Sn](C)(C)C,2.764,-0.16352
CCCCOCCCC,Cc1ccccc1,3.58,-0.21179
C(Cl)(Cl)(Cl)Cl,CCCC(C)O,3.45,-0.2041
CCCCCO,[HH],-1.22,0.07217
CCCCCCCCCCCCCCCC,Cc1cc(cc(c1)C)C,4.399,-0.26024
CCO,[C-]#[O+],-0.7,0.04141
CCCCOP(=O)(OCCCC)OCCCC,CCCC#N,3.62,-0.21416
C(Cl)(Cl)Cl,CCCCc1ccc(cc1)N,7.22,-0.42713
C(Cl)(Cl)(Cl)Cl,CCC(=O)OC,3.25,-0.19227
CC(CO)O,CCCCCCC,1.653,-0.09779
CN(C)C=O,C(=C(F)F)Cl,1.46,-0.08637
CCO,C1COCCO1,3.44,-0.20351
C(Cl)Cl,[HH],-1.145,0.06774
CCCCCCCCCC,CCC(CC)(CC)O,3.912,-0.23143
C1CCOC1,CC(Cl)(Cl)Cl,3.19,-0.18872
CC(=O)c1ccccc1,C(=S)=S,2.343,-0.13861
CCCCCCCCO,C=C,0.28,-0.01656
CCCCCl,CCCCCCC,3.378,-0.19984
CCCCCCCCCCCCCCCC,CC(C)CC(=O)C,3.05,-0.18044
CC(C)(C)O,[Xe],0.39,-0.02307
CC(=O)N(C)C,C(Cl)Cl,3.18,-0.18813
C(Cl)(Cl)Cl,Cc1ccccc1N,6.02,-0.35614
CCCO,C(Cl)Cl,2.45,-0.14494
CN(C)C=O,CCC#C,2.14,-0.1266
CC(C)CO,CCC,0.97,-0.05738
c1ccc(cc1)F,[Ne],-1.4,0.08282
C(Cl)(Cl)Cl,c1ccc(c(c1)O)I,6.52,-0.38572
CC(=O)C,CCCCCCC,2.81,-0.16624
c1ccc(cc1)F,[Ar],-0.53,0.03135
CCOC(=O)C,CC(C)C=O,2.97,-0.1757
CCCCCCCCC,CC(C)CCC(C)C,3.51,-0.20765
C(CCl)Cl,Cc1cccc(c1)C,4.38,-0.25912
CC(=O)C,N,1.48,-0.08756
CCCCCCC,CCCCOC(=O)C,3.61,-0.21357
CCOCC,[Ar],-0.22,0.01302
CCCCCCCCO,CC(C)CCOC(=O)C,3.94,-0.23309
CCCCCCCC,C(F)(F)(F)Cl,0.39,-0.02307
C(Cl)(Cl)Cl,C(CO)CCl,4.28,-0.2532
c1ccc(cc1)Cl,N#N,-0.99,0.05857
CCCCCCC,CC(C)CCC(C)C,3.57,-0.2112
C(Cl)(Cl)Cl,[N-]=[N+]=O,0.71,-0.042
CCCCCCCCCCCCCCCC,c1ccncc1,3.003,-0.17766
C1CCC(=O)CC1,O=O,-0.828,0.04898
C(=S)=S,C1COCCO1,3.372,-0.19949
CCCCCl,CCC(C)Cl,3.052,-0.18055
CCCCOCCO,CCCCCCC,2.83,-0.16742
CCCCCCCCO,C,-0.38,0.02248
C1COCCO1,CC(C)CCC(C)C,2.92,-0.17275
CCCCCCCCCCO,C(F)(F)(F)F,-0.994,0.0588
c1ccc(cc1)N,CCCCl,2.3,-0.13607
C(Cl)(Cl)(Cl)Cl,c1ccc(c(c1)O)Cl,4.53,-0.26799
c1ccncc1,c1ccc(cc1)I,5.4,-0.31946
CCCCC,CCCCN,2.71,-0.16032
c1ccc(cc1)I,Cc1ccc(cc1)O,5.18,-0.30645
CCO,[HH],-1.07,0.0633
CN1CCCC1=O,CCCCC=O,3.42,-0.20232
CS(=O)C,CCCC(C)C,1.31,-0.0775
C(Cl)(Cl)Cl,Cc1ccc(c(c1)O)C(C)C,7.06,-0.41767
C(Cl)(Cl)(Cl)Cl,CC,0.73,-0.04319
CC(C)CCO,c1ccc(cc1)Cl,3.756,-0.2222
C(Cl)(Cl)Cl,CCC(C)O,3.69,-0.2183
CCO,C=C(Cl)Cl,2.38,-0.1408
Cc1ccccc1,CC(C)CC(C)C,2.964,-0.17535
CC(=O)OC,C(C(F)(Cl)Cl)(F)(F)Cl,2.476,-0.14648
CCCCCCCCCCCCCCCC,CCCCCCCN,4.05,-0.2396
CC(=O)OC,C(C(F)(F)F)(Cl)Br,3.378,-0.19984
CC(C)CO,CCCC#N,3.34,-0.19759
CCC(C)O,C/C=C/C,1.56,-0.09229
CCc1ccccc1,c1ccc(cc1)Cl,4.092,-0.24208
C(Cl)(Cl)(Cl)Cl,C(F)(F)(Cl)Cl,1.41,-0.08341
C(CCl)Cl,C1CCOC1,3.16,-0.18694
CC(C)O,Cc1ccccc1,3.21,-0.1899
CC(=O)OC,[N-]=[N+]=O,0.797,-0.04715
c1ccc(cc1)I,CO,1.59,-0.09406
CCC(=O)C,CC#N,3.27,-0.19345
CCCCCCC,CCC[N+](=O)[O-],2.91,-0.17215
C(=O)N,Cc1ccccc1,2.2,-0.13015
CCCCCCCCCC,C(=C(Cl)Cl)Cl,2.815,-0.16653
C/C(=N/C)/O,C(=C(Cl)Cl)Cl,3.19,-0.18872
CCCCCCC,CC[N+](=O)[O-],2.45,-0.14494
CCCCCCCCCCCC,COP(=O)(OC)OC,3.99,-0.23605
CC(=O)OC,C(=O)=O,0.829,-0.04904
CC(=O)N(C)C,CC(=O)C,2.89,-0.17097
CCC(=O)C,C(=S)=S,2.27,-0.13429
CC(C)CC(C)(C)C,CCC#N,2.073,-0.12264
C1CCOC1,CO,2.84,-0.16801
CC1COC(=O)O1,CCN(CC)CC,2.13,-0.12601
CC(C)(C)O,CC[Sn](CC)(CC)CC,4.87,-0.28811
CCCCCCCCCCCCCCCC,Cc1ccc(nc1)C,4.05,-0.2396
C(Cl)(Cl)Cl,CCN(CC)CC,4.22,-0.24965
C(Cl)(Cl)(Cl)Cl,CC(=O)c1ccccc1,5.26,-0.31118
CCCCCCCCO,c1ccccc1,2.8,-0.16565
CCCOCCC,CC(C)CO,3.504,-0.20729
c1ccc(cc1)C#N,CC(C)CCC(C)C,2.8104341181,-0.16626
C(Cl)(Cl)Cl,CCCCC(=O)OC,4.89,-0.28929
C(Cl)(Cl)Cl,c1cc(cc(c1)Cl)Cl,4.59,-0.27154
CC(=O)C,CC(C)CC(C)C,2.52,-0.14908
c1ccc(cc1)Cl,CCCC(=O)C,3.87,-0.22895
CS(=O)C,CCC1CCCCC1,2.388,-0.14127
CCCO,COC(=O)OC,2.73,-0.16151
CN1CCCC1=O,CCCC=C,1.65,-0.09761
c1ccc(cc1)C#N,CC(C)C(C)C(C)C,2.92611096996,-0.17311
CCCCCO,Cc1ccccc1,3.29,-0.19463
C(Cl)(Cl)Cl,CCCCCCC,3.389,-0.20049
CCCCCC,CCCCCCCCCCCCO,6.79,-0.40169
CCCCCCCC,Cc1ccc(cc1)O,4.13,-0.24433
CCCCCCCCCCCC,C/C=C/C=C,2.31,-0.13666
CC#N,CC(C)CCC(C)C,2.392,-0.14151
c1ccc(cc1)C#N,c1ccc(cc1)Cl,4.124,-0.24397
C(Cl)(Cl)(Cl)Cl,CC(=C)C(=C)C,3.23,-0.19108
CCCCOP(=O)(OCCCC)OCCCC,CCCCC=C,2.42,-0.14317
CC(C)CC(C)(C)C,CCCCCO,3.207,-0.18972
CC(C)(C)O,CCCCCl,2.71,-0.16032
C1CCCCCCC1,[Kr],-0.204,0.01207
CCCCCC,CCO,1.672,-0.09891
CN(C)C=O,C/C=C/C,1.55,-0.0917
C1CCOC1,CCCCCC,2.84,-0.16801
CCCCCCCCCCC,CCc1ccccc1,3.85,-0.22776
CCCCCC,CCCCCOC(=O)C,4.084,-0.24161
Cc1ccccc1,CN,1.942,-0.11489
C(Cl)(Cl)Cl,CC(Cl)Cl,3.01,-0.17807
CCCCCCCCCC,CCC1CCCCC1,3.86,-0.22836
C(Cl)(Cl)(Cl)Cl,CCCOC(=O)C,3.64,-0.21534
CCCCCCCC,CCCCCC(=O)OC,4.065,-0.24048
CCCCCCC,C1CCCCC1,3.07,-0.18162
C(CCl)Cl,COC(=O)OC,3.71,-0.21948
C(Cl)(Cl)(Cl)Cl,CC#N,2.22,-0.13133
CCOC(=O)C,C1CCCCC1,2.76,-0.16328
c1ccncc1,c1ccc(c(c1)Cl)Cl,5.177,-0.30627
CCCCCCCCCCO,C(CCl)O,4.2,-0.24847
C1COCCO1,C(C(F)(F)F)(Cl)Br,3.23,-0.19108
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)C(=N)O,6.77,-0.40051
C/C(=N/C)/O,C/C=C/C=C,2.19,-0.12956
CCCCCO,CCO,3.41,-0.20173
CCCCCC,CSC,2.175,-0.12867
CCCCO,C(=O)=O,0.29,-0.01716
CCCO,CC(C)C,1.3,-0.07691
CN1CCCC1=O,CC=C(C)C,1.82,-0.10767
CC(C)O,c1ccc(cc1)CCl,4.37,-0.25853
c1ccncc1,CCCCCC,2.368,-0.14009
C(=O)N,Cc1cccc(c1)C,2.41,-0.14257
C(Cl)Cl,CCCCC,2.242,-0.13264
